name,city,locality,cuisines,cost,Currency,rating,votes,primary_cuisine,cost_category
Villa Tevere,Brasí_lia,Asa Sul,italian,150,Brazilian Real(R$),4.1,12,italian,low
Rovereto,Brasí_lia,íguas Claras,pizza,100,Brazilian Real(R$),3.1,9,pizza,low
Buena Carne,Brasí_lia,íguas Claras,"bar food, brazilian",60,Brazilian Real(R$),3.6,9,bar food,low
Taco Pep,Brasí_lia,íguas Claras,"mexican, grill",100,Brazilian Real(R$),4.3,29,mexican,low
Coco Bambu,Brasí_lia,"Brasí_lia Shopping, Asa Norte",international,230,Brazilian Real(R$),4.2,17,international,low
Taypíç,Brasí_lia,Lago Sul,"peruvian, latin american",100,Brazilian Real(R$),3.6,5,peruvian,low
Outback Steakhouse,Brasí_lia,"ParkShopping, Guaríç I","american, grill",150,Brazilian Real(R$),4.0,10,american,low
Manzuíç,Brasí_lia,"Pontí£o Lago Sul, Lago Sul",seafood,240,Brazilian Real(R$),3.2,6,seafood,low
Coco Bambu,Brasí_lia,Setor De Clubes Esportivos Sul,international,230,Brazilian Real(R$),4.9,30,international,low
Gero,Brasí_lia,"Shopping Iguatemi, Lago Norte",italian,350,Brazilian Real(R$),3.3,8,italian,medium
Brazilian American Burgers,Brasí_lia,Sudoeste,"american, burger",50,Brazilian Real(R$),3.6,9,american,low
Pesqueiro Eco Gourmet,Rio de Janeiro,Barra da Tijuca,"seafood, bar food, brazilian",140,Brazilian Real(R$),4.0,7,seafood,low
Confeitaria Colombo,Rio de Janeiro,Centro,"desserts, cafe",100,Brazilian Real(R$),4.8,29,desserts,low
Bibi,Rio de Janeiro,Copacabana,"juices, healthy food",60,Brazilian Real(R$),4.7,24,juices,low
Cervantes,Rio de Janeiro,Copacabana,"beverages, bar food, fast food",90,Brazilian Real(R$),4.5,29,beverages,low
Amir,Rio de Janeiro,Copacabana,lebanese,170,Brazilian Real(R$),4.2,11,lebanese,low
TT Burger,Rio de Janeiro,"Galeria River, Copacabana",burger,60,Brazilian Real(R$),4.8,19,burger,low
Braseiro da Gíçvea,Rio de Janeiro,Gíçvea,"brazilian, bar food",100,Brazilian Real(R$),4.9,40,brazilian,low
Balada Mix,Rio de Janeiro,Ipanema,"brazilian, healthy food, juices, pizza",90,Brazilian Real(R$),4.6,21,brazilian,low
Garota de Ipanema,Rio de Janeiro,Ipanema,"brazilian, bar food",120,Brazilian Real(R$),4.9,49,brazilian,low
Zazíç BistríÇ Tropical,Rio de Janeiro,Ipanema,brazilian,170,Brazilian Real(R$),4.6,21,brazilian,low
Filí© de Ouro,Rio de Janeiro,Lagoa,brazilian,90,Brazilian Real(R$),4.3,14,brazilian,low
D.O.C Ristorante,Rio de Janeiro,"Le Monde, Barra da Tijuca",italian,150,Brazilian Real(R$),4.0,5,italian,low
Sushi Leblon,Rio de Janeiro,Leblon,japanese,250,Brazilian Real(R$),4.6,25,japanese,low
Talho Capixaba,Rio de Janeiro,Leblon,"bakery, sandwich, brazilian",120,Brazilian Real(R$),4.4,13,bakery,low
Leme Light,Rio de Janeiro,Leme,brazilian,40,Brazilian Real(R$),4.2,7,brazilian,low
Shirley,Rio de Janeiro,Leme,"brazilian, seafood",250,Brazilian Real(R$),4.2,8,brazilian,low
Quiosque Chopp Brahma,Rio de Janeiro,Madureira,"bar food, brazilian",70,Brazilian Real(R$),0.0,1,bar food,low
Aprazí_vel,Rio de Janeiro,Santa Teresa,brazilian,300,Brazilian Real(R$),4.7,44,brazilian,medium
Aconchego Carioca,Rio de Janeiro,Tijuca,"brazilian, bar food",85,Brazilian Real(R$),4.6,24,brazilian,low
Garota de Ipanema,Rio de Janeiro,Urca,"brazilian, bar food",80,Brazilian Real(R$),4.3,10,brazilian,low
Cantina Famiglia Mancini,Sí£o Paulo,"Bela Vista, Centro","italian, pizza",250,Brazilian Real(R$),4.5,49,italian,low
Templo da Carne - Marcos Bassi,Sí£o Paulo,"Bela Vista, Centro","steak, bbq",250,Brazilian Real(R$),4.4,17,steak,low
Gopala Hari,Sí£o Paulo,Consolaí_í£o,indian,70,Brazilian Real(R$),3.1,5,indian,low
Jiquitaia,Sí£o Paulo,Consolaí_í£o,brazilian,100,Brazilian Real(R$),4.1,15,brazilian,low
Skye - Hotel Unique,Sí£o Paulo,"Hotel Unique, Jardim Paulista","beverages, international",300,Brazilian Real(R$),4.8,59,beverages,medium
Les 3 Brasseurs,Sí£o Paulo,Itaim Bibi,"french, brazilian, beverages",120,Brazilian Real(R$),4.6,30,french,low
Red Steak & Burger,Sí£o Paulo,Itaim Bibi,"brazilian, grill",75,Brazilian Real(R$),3.9,5,brazilian,low
Cantinho da Gula,Sí£o Paulo,Itaim Bibi,brazilian,55,Brazilian Real(R$),0.0,0,brazilian,low
Paris 6 Classique,Sí£o Paulo,Jardim Paulista,french,200,Brazilian Real(R$),3.4,73,french,low
Kawa Sushi,Sí£o Paulo,Jardim Paulista,"sushi, japanese",120,Brazilian Real(R$),3.5,9,sushi,low
A Figueira Rubaiyat,Sí£o Paulo,Jardim Paulista,"bbq, grill, brazilian",300,Brazilian Real(R$),4.3,39,bbq,medium
Kinoshita,Sí£o Paulo,Moema,sushi,230,Brazilian Real(R$),3.9,12,sushi,low
Meats,Sí£o Paulo,Pinheiros,"gourmet fast food, burger",120,Brazilian Real(R$),4.3,68,gourmet fast food,low
Paribar,Sí£o Paulo,Repí_blica,"brazilian, italian",150,Brazilian Real(R$),4.3,46,brazilian,low
Terraí_o Itíçlia,Sí£o Paulo,Repí_blica,italian,400,Brazilian Real(R$),4.4,37,italian,medium
Divino Fogí£o,Sí£o Paulo,"Shopping MetríÇ Santa Cruz, Vila Mariana","brazilian, mineira",65,Brazilian Real(R$),0.0,2,brazilian,low
Super Grill,Sí£o Paulo,"Shopping Morumbi, Santo Amaro",brazilian,50,Brazilian Real(R$),0.0,2,brazilian,low
Esquina Mocotí_,Sí£o Paulo,Vila Maria,"brazilian, north eastern",100,Brazilian Real(R$),4.4,22,brazilian,low
Veloso,Sí£o Paulo,Vila Mariana,"brazilian, bar food, beverages",70,Brazilian Real(R$),4.6,58,brazilian,low
Sainte Marie Gastronomia,Sí£o Paulo,Vila SíÇnia,"lebanese, arabian",120,Brazilian Real(R$),4.1,11,lebanese,low
Austin's BBQ and Oyster Bar,Albany,Albany,"bbq, burger, seafood",25,Dollar($),3.3,35,bbq,low
BJ's Country Buffet,Albany,Albany,"american, bbq",10,Dollar($),3.3,25,american,low
El Vaquero Mexican Restaurant,Albany,Albany,mexican,0,Dollar($),3.4,45,mexican,low
Elements Coffee Co - Northwest,Albany,Albany,"coffee and tea, sandwich",10,Dollar($),3.4,26,coffee and tea,low
Chick-fil-A,Albany,Albany,fast food,10,Dollar($),3.5,67,fast food,low
Guang Zhou Chinese Restaurant,Albany,Albany,"asian, chinese, vegetarian",10,Dollar($),3.9,141,asian,low
Harvest Moon,Albany,Albany,"pizza, bar food, sandwich",25,Dollar($),3.7,147,pizza,low
Henry Campbell's Steakhouse,Albany,Albany,"steak, tapas, bar food",70,Dollar($),3.5,51,steak,low
Hong Kong Cafe,Albany,Albany,"chinese, seafood, vegetarian",25,Dollar($),3.6,88,chinese,low
House of China Restaurant II,Albany,Albany,chinese,10,Dollar($),3.8,153,chinese,low
Locos Grill & Pub,Albany,Albany,"american, burger, sandwich",25,Dollar($),3.5,57,american,low
Longhorn Steakhouse,Albany,Albany,"american, steak",25,Dollar($),3.5,58,american,low
Mikata Japanese Steakhouse,Albany,Albany,"japanese, steak, sushi",40,Dollar($),3.6,115,japanese,low
Shogun Japanese Steak House,Albany,Albany,"japanese, steak, sushi",40,Dollar($),3.5,51,japanese,low
The Catch Seafood Room & Oyster Bar,Albany,Albany,"seafood, tapas, bar food",40,Dollar($),3.8,250,seafood,low
Villa Gargano,Albany,Albany,"italian, pizza",10,Dollar($),3.7,117,italian,low
3 Squares Diner,Albany,Sylvester,"american, breakfast, diner",10,Dollar($),3.4,20,american,low
Whitebull Hotel,Armidale,Armidale,"bar food, steak",20,Dollar($),3.5,25,bar food,low
Last Resort Grill,Athens,Athens,"american, southern, southwestern",40,Dollar($),4.5,1821,american,low
Mama's Boy Restaurant,Athens,Athens,southern,10,Dollar($),4.5,849,southern,low
Sr. Sol 1,Athens,Athens,mexican,10,Dollar($),4.6,917,mexican,low
Choo Choo Eastside,Athens,Athens,"japanese, korean",10,Dollar($),3.9,439,japanese,low
The Grill,Athens,Athens,"breakfast, burger, sandwich",10,Dollar($),3.7,289,breakfast,low
Big City Bread Cafe,Athens,Athens,"breakfast, sandwich",10,Dollar($),4.3,558,breakfast,low
Clocked,Athens,Athens,"american, burger, sandwich",10,Dollar($),4.2,613,american,low
DePalma's Italian Cafe - Downtown,Athens,Athens,"american, italian, pizza",25,Dollar($),4.0,353,american,low
DePalma's Italian Cafe - East Side,Athens,Athens,"american, italian, pizza",25,Dollar($),4.1,387,american,low
Five & Ten,Athens,Athens,american,40,Dollar($),4.3,755,american,low
Grit,Athens,Athens,"international, southern, vegetarian",10,Dollar($),4.2,800,international,low
Ike & Jane,Athens,Athens,sandwich,10,Dollar($),4.1,350,sandwich,low
La Dolce Vita Ristorante,Athens,Athens,italian,40,Dollar($),4.1,464,italian,low
Shokitini,Athens,Athens,"asian, japanese, sushi",25,Dollar($),4.2,550,asian,low
Taqueria Del Sol,Athens,Athens,"mexican, spanish",10,Dollar($),4.1,543,mexican,low
The National,Athens,Athens,"international, southern",40,Dollar($),4.1,465,international,low
The Royal Peasant,Athens,Athens,bar food,10,Dollar($),4.4,546,bar food,low
Transmetropolitan,Athens,Athens,"italian, pizza, sandwich",10,Dollar($),4.4,1098,italian,low
Trappeze Pub,Athens,Athens,"burger, bar food",25,Dollar($),4.2,579,burger,low
Viva! Argentine Cuisine,Athens,Athens,"desserts, latin american, argentine",10,Dollar($),4.1,374,desserts,low
Miyabi Kyoto Japanese Steak House,Augusta,Augusta,"chinese, steak",40,Dollar($),4.6,717,chinese,low
Rae's Coastal Cafe,Augusta,Augusta,"american, caribbean, seafood",40,Dollar($),4.9,548,american,low
The Bee's Knees,Augusta,Augusta,"international, tapas, vegetarian",25,Dollar($),4.5,631,international,low
Boll Weevil Cafe,Augusta,Augusta,"desserts, sandwich, southern",10,Dollar($),3.9,372,desserts,low
Farmhaus Burger,Augusta,Augusta,"american, burger",25,Dollar($),3.9,201,american,low
Manuel's Bread Cafe,Augusta,Augusta,"breakfast, french",40,Dollar($),3.8,332,breakfast,low
Sconyers Bar B Que,Augusta,Augusta,bbq,25,Dollar($),3.5,304,bbq,low
Frog Hollow Tavern,Augusta,Augusta,american,40,Dollar($),4.3,368,american,low
Giuseppe's Pizza & Italian Specialities,Augusta,Augusta,"desserts, italian, pizza",25,Dollar($),4.1,430,desserts,low
Mellow Mushroom,Augusta,Augusta,"italian, pizza, sandwich",25,Dollar($),4.4,433,italian,low
Nacho Mamas Burritos,Augusta,Augusta,mexican,10,Dollar($),4.0,380,mexican,low
Rhinehart's Oyster Bar,Augusta,Augusta,"bar food, sandwich, seafood",25,Dollar($),4.0,456,bar food,low
Takosushi,Augusta,Augusta,"mexican, southwestern, sushi",40,Dollar($),4.2,647,mexican,low
The Chop House,Augusta,Augusta,steak,40,Dollar($),4.0,360,steak,low
The Taj of India,Augusta,Augusta,indian,25,Dollar($),4.0,227,indian,low
Augsburg Haus,Augusta,Evans,german,25,Dollar($),3.9,290,german,low
Pho Bac,Augusta,Evans,vietnamese,10,Dollar($),4.1,270,vietnamese,low
Rhinehart's Oyster Bar,Augusta,Evans,"burger, seafood",25,Dollar($),4.0,326,burger,low
Thai Kitchen,Augusta,Evans,thai,35,Dollar($),4.3,317,thai,low
El Kiosco Mexican Restaurant,Augusta,Grovetown,mexican,10,Dollar($),4.2,300,mexican,low
Taste of Balingup,Balingup,Balingup,modern australian,20,Dollar($),3.2,21,modern australian,low
Bridge Road Brewers,Beechworth,Beechworth,"pizza, bar food",20,Dollar($),4.6,237,pizza,low
Bardenay,Boise,Boise,"american, bar food",25,Dollar($),4.5,879,american,low
Flatbread Neapolitan Pizzeria,Boise,Boise,"italian, pizza",25,Dollar($),4.6,615,italian,low
Goldy's Breakfast Bistro,Boise,Boise,"breakfast, sandwich",25,Dollar($),4.5,879,breakfast,low
Chandlers Steakhouse,Boise,Boise,"american, seafood, steak",70,Dollar($),3.9,379,american,low
Bar Gernika Basque Pub & Eatery,Boise,Boise,"european, spanish",10,Dollar($),4.3,303,european,low
Barbacoa Restaurant,Boise,Boise,"latin american, steak",70,Dollar($),4.1,538,latin american,low
Big Jud's,Boise,Boise,"american, burger, sandwich",10,Dollar($),4.2,334,american,low
Bittercreek Ale House,Boise,Boise,"american, bar food",25,Dollar($),4.3,555,american,low
Boise Fry Company,Boise,Boise,"american, burger",10,Dollar($),4.4,823,american,low
Flying Pie Pizzaria,Boise,Boise,pizza,25,Dollar($),4.1,550,pizza,low
Fork,Boise,Boise,"american, burger",25,Dollar($),4.4,650,american,low
Guido's Original New York Style Pizza,Boise,Boise,pizza,10,Dollar($),4.3,410,pizza,low
Los Beto's,Boise,Boise,mexican,10,Dollar($),4.4,660,mexican,low
Lucianos Italian Restaurant,Boise,Boise,"italian, seafood, vegetarian",25,Dollar($),4.4,360,italian,low
Mai Thai Restaurant,Boise,Boise,"sushi, thai",40,Dollar($),4.0,340,sushi,low
Shige Japanese Cuisine,Boise,Boise,"japanese, sushi, teriyaki",25,Dollar($),4.1,393,japanese,low
The Egg Factory,Boise,Boise,breakfast,10,Dollar($),4.3,422,breakfast,low
Tucanos,Boise,Boise,brazilian,40,Dollar($),4.0,435,brazilian,low
Texas Roadhouse,Boise,Meridian,"american, bbq, steak",25,Dollar($),4.0,369,american,low
Brick 29,Boise,Nampa,american,40,Dollar($),4.4,487,american,low
Winifreds,Cedar Rapids/Iowa City,Cedar Rapids,"american, mediterranean, seafood",40,Dollar($),3.7,98,american,low
Biaggi's Ristorante Italiano,Cedar Rapids/Iowa City,Cedar Rapids,"italian, pizza",40,Dollar($),4.1,365,italian,low
El Super Burrito,Cedar Rapids/Iowa City,Cedar Rapids,mexican,10,Dollar($),4.1,190,mexican,low
Granite City Food & Brewery,Cedar Rapids/Iowa City,Cedar Rapids,"american, breakfast, burger",40,Dollar($),4.1,429,american,low
Irish Democrat,Cedar Rapids/Iowa City,Cedar Rapids,"american, bbq, burger",25,Dollar($),4.4,430,american,low
Taste of India,Cedar Rapids/Iowa City,Cedar Rapids,indian,25,Dollar($),4.2,186,indian,low
Thai Moon Restaurant,Cedar Rapids/Iowa City,Cedar Rapids,"chinese, sushi, thai",10,Dollar($),4.2,220,chinese,low
Ting's Red Lantern,Cedar Rapids/Iowa City,Cedar Rapids,chinese,10,Dollar($),4.2,347,chinese,low
Monica's,Cedar Rapids/Iowa City,Coralville,"american, italian, pizza",25,Dollar($),3.8,161,american,low
Exotic India,Cedar Rapids/Iowa City,Coralville,indian,25,Dollar($),4.1,160,indian,low
Shorts Burger and Shine,Cedar Rapids/Iowa City,Iowa City,burger,10,Dollar($),4.9,820,burger,low
The Hamburg Inn No. 2 Inc.,Cedar Rapids/Iowa City,Iowa City,"american, breakfast, burger",10,Dollar($),4.5,488,american,low
Bluebird Diner,Cedar Rapids/Iowa City,Iowa City,"breakfast, diner",25,Dollar($),3.6,253,breakfast,low
Graze,Cedar Rapids/Iowa City,Iowa City,"american, international, sushi",40,Dollar($),3.8,220,american,low
A & A Pagliai's Pizza,Cedar Rapids/Iowa City,Iowa City,pizza,25,Dollar($),4.3,485,pizza,low
Atlas World Grill,Cedar Rapids/Iowa City,Iowa City,international,40,Dollar($),4.3,428,international,low
BlackStone,Cedar Rapids/Iowa City,Iowa City,"american, breakfast",25,Dollar($),4.1,294,american,low
Devotay,Cedar Rapids/Iowa City,Iowa City,"mediterranean, tapas, vegetarian",40,Dollar($),4.0,380,mediterranean,low
Jimmy Jack's Rib Shack,Cedar Rapids/Iowa City,Iowa City,bbq,25,Dollar($),4.2,259,bbq,low
Zoeys Pizzeria,Cedar Rapids/Iowa City,Marion,"pizza, sandwich",25,Dollar($),4.7,433,pizza,low
Tokyo Sushi,Chatham-Kent,Chatham-Kent,"japanese, sushi",25,Dollar($),3.7,176,japanese,low
Berry Patch Restaurant,Clatskanie,Clatskanie,"american, breakfast, desserts",10,Dollar($),4.3,96,american,low
Sakura Sushi & Grill,Cochrane,Cochrane,"asian, japanese",25,Dollar($),3.1,6,asian,low
Uptown Vietnam cuisine,Columbus,Columbus,"asian, vietnamese",10,Dollar($),3.3,33,asian,low
Cafe Le Rue @ The Landings,Columbus,Columbus,"american, seafood, cajun",25,Dollar($),4.6,489,american,low
Mark's City Grille,Columbus,Columbus,american,25,Dollar($),4.5,345,american,low
B Merrell's,Columbus,Columbus,"burger, bar food, southern",25,Dollar($),3.8,149,burger,low
Cannon Brewpub,Columbus,Columbus,"pizza, bar food",25,Dollar($),3.9,330,pizza,low
Fuji Japanese Steak House,Columbus,Columbus,"japanese, steak",40,Dollar($),3.9,247,japanese,low
Ruth Ann's Family Restaurant,Columbus,Columbus,"breakfast, diner, southern",10,Dollar($),3.7,123,breakfast,low
Samurai Japanese Cuisine & Sushi Bar,Columbus,Columbus,"japanese, steak, sushi",40,Dollar($),3.6,109,japanese,low
Wasabi Sushi and Thai,Columbus,Columbus,"japanese, sushi, thai",40,Dollar($),3.7,134,japanese,low
Buckhead Bar and Grill,Columbus,Columbus,"seafood, steak, vegetarian",40,Dollar($),4.2,722,seafood,low
Burt's Butcher Shoppe and Eatery,Columbus,Columbus,steak,25,Dollar($),4.3,213,steak,low
Chef Lee's Peking Restaurant,Columbus,Columbus,chinese,25,Dollar($),4.0,335,chinese,low
Country's Barbecue,Columbus,Columbus,"bbq, southern",25,Dollar($),4.0,353,bbq,low
Deorio's,Columbus,Columbus,"italian, pizza",0,Dollar($),4.0,170,italian,low
Mellow Mushroom,Columbus,Columbus,pizza,25,Dollar($),4.1,192,pizza,low
Meritage,Columbus,Columbus,"american, tapas",40,Dollar($),4.1,302,american,low
Mongo The Mongolian Fire Pit,Columbus,Columbus,"asian, chinese",10,Dollar($),4.2,355,asian,low
The Black Cow,Columbus,Columbus,american,25,Dollar($),4.3,287,american,low
Wood Stone,Columbus,Columbus,"italian, mediterranean, pizza",40,Dollar($),4.0,264,italian,low
Hunter's Pub,Columbus,Hamilton,"american, seafood, steak",40,Dollar($),4.4,235,american,low
Consort Restaurant,Consort,Consort,"chinese, canadian",25,Dollar($),3.0,6,chinese,low
Thatcher's Barbeque and Grill,Dalton,Calhoun,"american, bbq, southern",25,Dollar($),3.7,38,american,low
Christian and Jake's Bistro,Dalton,Calhoun,"desserts, sandwich",10,Dollar($),4.4,122,desserts,low
Dub's High on the Hog,Dalton,Calhoun,bbq,25,Dollar($),4.4,207,bbq,low
Sierra's Mexican Restaurant,Dalton,Chatsworth,"mexican, tex-mex",10,Dollar($),3.9,66,mexican,low
Oakwood Cafe,Dalton,Dalton,"bbq, breakfast, southern",10,Dollar($),4.9,249,bbq,low
Chili's Grill & Bar,Dalton,Dalton,american,25,Dollar($),3.8,63,american,low
Fuji Japanese Steakhouse,Dalton,Dalton,"japanese, sushi",40,Dollar($),3.8,145,japanese,low
Las Palmas,Dalton,Dalton,mexican,10,Dollar($),3.8,83,mexican,low
Tony's Italian Restaurant & Pizza,Dalton,Dalton,italian,25,Dollar($),3.7,116,italian,low
Filling Station,Dalton,Dalton,"american, burger",10,Dollar($),4.1,122,american,low
Five Guys Burgers and Fries,Dalton,Dalton,fast food,10,Dollar($),4.1,142,fast food,low
Los Pablos,Dalton,Dalton,mexican,10,Dollar($),4.1,114,mexican,low
Kobe Hibachi & Sushi,Dalton,Fort Oglethorpe,"american, japanese, sushi",25,Dollar($),4.6,214,american,low
Soho Hibachi,Dalton,Fort Oglethorpe,japanese,10,Dollar($),4.3,116,japanese,low
Thai Garden,Dalton,Fort Oglethorpe,thai,25,Dollar($),4.2,111,thai,low
Southern Bliss Bakery,Dalton,LaFayette,"desserts, sandwich",10,Dollar($),3.7,25,desserts,low
Bailey's Bar-B-Que,Dalton,Ringgold,bbq,10,Dollar($),4.1,128,bbq,low
Farm To Fork,Dalton,Ringgold,"american, diner, southern",10,Dollar($),4.3,244,american,low
Home Plate Grill,Dalton,Ringgold,"american, bbq, southern",10,Dollar($),4.2,112,american,low
Pie Slingers Pizzeria,Dalton,Rock Spring,"italian, pizza",10,Dollar($),4.1,144,italian,low
Olive Tree Cafe,Davenport,Bettendorf,"indian, mediterranean, middle eastern",25,Dollar($),4.6,166,indian,low
"Red Ginger Sushi, Grill & Bar",Davenport,Bettendorf,"sushi, teriyaki",40,Dollar($),4.5,208,sushi,low
Crust Stone Oven Pizza,Davenport,Bettendorf,"burger, pizza",25,Dollar($),3.9,136,burger,low
Jimmy's Pancake House,Davenport,Bettendorf,"american, breakfast, greek",10,Dollar($),4.0,85,american,low
Trattoria Tiramisu,Davenport,Bettendorf,italian,25,Dollar($),4.1,117,italian,low
Prairie Grille at SteepleGate Inn,Davenport,Davenport,"american, breakfast",25,Dollar($),3.4,53,american,low
Tantra Asian Bistro,Davenport,Davenport,asian,25,Dollar($),4.9,474,asian,low
Chick-fil-A,Davenport,Davenport,fast food,10,Dollar($),3.9,125,fast food,low
Duck City Bistro,Davenport,Davenport,"american, french",70,Dollar($),3.7,201,american,low
Frick's Tap,Davenport,Davenport,"american, bar food, bbq",25,Dollar($),0.0,2,american,low
Los Agaves,Davenport,Davenport,mexican,25,Dollar($),0.0,3,mexican,low
Azteca,Davenport,Davenport,mexican,0,Dollar($),4.3,167,mexican,low
China Cafe,Davenport,Davenport,chinese,25,Dollar($),4.0,112,chinese,low
Exotic Thai Restaurant,Davenport,Davenport,thai,25,Dollar($),4.1,256,thai,low
Front Street Brewery,Davenport,Davenport,american,10,Dollar($),4.3,123,american,low
Granite City Food & Brewery,Davenport,Davenport,american,25,Dollar($),4.0,199,american,low
Los Agaves,Davenport,Davenport,mexican,25,Dollar($),4.1,157,mexican,low
Machine Shed Restaurant,Davenport,Davenport,american,25,Dollar($),4.1,100,american,low
Osaka,Davenport,Davenport,"japanese, sushi",40,Dollar($),4.2,141,japanese,low
Texas Roadhouse,Davenport,Davenport,"american, bbq, steak",25,Dollar($),4.2,197,american,low
Hickory Park,Des Moines,Ames,"bbq, burger, desserts",25,Dollar($),4.5,1025,bbq,low
The Cafe,Des Moines,Ames,"american, coffee and tea",25,Dollar($),4.9,570,american,low
Flying Mango,Des Moines,Beaverdale,"bbq, caribbean, cajun",40,Dollar($),4.5,674,bbq,low
Cool Basil,Des Moines,Clive,"asian, sushi, thai",25,Dollar($),4.1,496,asian,low
HuHot Mongolian Grill,Des Moines,Clive,"asian, chinese",25,Dollar($),4.0,411,asian,low
Malo,Des Moines,Downtown,"latin american, mexican",25,Dollar($),3.2,113,latin american,low
Centro,Des Moines,Downtown,"italian, pizza",40,Dollar($),4.5,1109,italian,low
Fong's Pizza,Des Moines,Downtown,"chinese, pizza",25,Dollar($),4.6,728,chinese,low
A Dong Restaurant,Des Moines,Downtown,"asian, vegetarian, vietnamese, bubble tea",10,Dollar($),4.4,659,asian,low
Court Avenue Brewing Company,Des Moines,Downtown,"american, pizza, bar food",40,Dollar($),4.2,370,american,low
Django,Des Moines,Downtown,french,40,Dollar($),4.3,532,french,low
Miyabi 9,Des Moines,East Village,"japanese, sushi",25,Dollar($),4.8,860,japanese,low
Zombie Burger + Drink Lab,Des Moines,East Village,"burger, desserts, vegetarian",10,Dollar($),4.2,943,burger,low
Tursi's Latin King,Des Moines,Fairground,"american, italian",70,Dollar($),4.1,476,american,low
